sex,race_cat,byear,dob,id,list1_17,list1_18,list1_19,list2_17,list2_18,list2_19,list3_17,list3_18,list3_19,list4_17,list4_18,list4_19
F,NONWHITE,2004,2004-02-16,1,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-12-04,2,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-04-04,3,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-04-02,4,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-12-06,5,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-11-30,6,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-08-04,7,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-01-24,8,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-06-08,28711,1,0,0,0,0,1,0,0,0,0,0,0
F,NONWHITE,2004,2004-05-08,10,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-04-10,11,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-08-07,12,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-07-18,13,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-11-22,14,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2001,2001-09-07,15,0,0,0,1,0,0,1,0,0,0,0,0
F,NONWHITE,2002,2002-01-06,16,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-01-23,17,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-05-15,18,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-11-28,28992,0,0,0,1,1,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-10-03,29050,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-05-10,21,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-06-07,22,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,1999,1999-08-21,23,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-11-10,24,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-11-18,25,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-08-25,26,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-05-17,27,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-11-11,28,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-02-04,29,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-07-26,30,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-03-02,31,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-12-03,32,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-07-07,33,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-13,34,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-15,35,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-03-23,36,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-07-28,37,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-07-15,38,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-21,39,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-07-13,40,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-01-07,41,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-12-28,42,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-01-11,43,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2001,2001-04-13,44,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-09-04,45,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2003,2003-02-11,46,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,1999,1999-11-20,47,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-12-01,48,0,0,0,0,0,0,0,0,0,1,0,0
F,NONWHITE,2002,2002-11-01,49,0,0,0,0,0,0,1,0,0,0,0,0
F,NONWHITE,2003,2003-12-13,50,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-03-05,51,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-05-04,52,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-11-09,28785,0,0,0,1,0,0,0,1,0,0,0,0
F,NONWHITE,2000,2000-07-13,54,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-11-30,55,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2002,2002-12-31,56,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,1999,1999-11-20,57,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-09-01,58,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-02-28,59,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2004,2004-02-11,60,1,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-05-11,61,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-05-18,28304,1,0,0,0,0,0,0,0,0,0,0,0
F,NONWHITE,2000,2000-11-24,63,0,0,0,1,0,0,0,0,0,0,0,0
F,NONWHITE,2001,2001-11-15,64,0,0,0,1,0,0,0,0,0,0,0,0
